,Date,Positive,Negative,Total,Percentage Positive,Percentage Negative,Average Sentiment,Cases,New Cases,Cases Ratio,Deaths,New Deaths,Mobility,Google Trends
103,May 07 2020,8885,3962,19590,0.45354772843287394,0.20224604389994896,0.07877375701493931,3848381,89086,0.989602541600942,270752,5409,93.82040156162856,24
104,May 08 2020,7903,3723,18139,0.43569105242846906,0.20524835988753515,0.07419582154873064,3939898,91517,1.0272882383314998,276320,5568,103.1731372002231,24
105,May 09 2020,7311,3669,16576,0.44105936293436293,0.22134411196911197,0.06717906071982782,4023533,83635,0.913873925063103,280585,4265,101.69872002230898,26
106,May 10 2020,12443,6064,29649,0.41967688623562344,0.20452629093729974,0.06528882689772007,4099779,76246,0.9116518204101154,284151,3566,80.27827105409928,27
107,May 11 2020,15109,6342,32982,0.4580983566794009,0.19228670183736585,0.07459899502889424,4176020,76241,0.9999344227893923,287624,3473,,25
108,May 12 2020,10632,4771,24058,0.44193199767229197,0.19831241167179317,0.07305377094420529,4259619,83599,1.0965097519707243,293171,5547,,29
109,May 13 2020,10582,5014,23646,0.44751755053708875,0.21204432039245538,0.07348325479304155,4344371,84752,1.0137920310051556,298399,5228,98.00250697155604,26
110,May 14 2020,10251,5128,23069,0.4443625644804716,0.22228965278078808,0.07609961713631112,4441476,97105,1.1457546724561072,303667,5268,103.18351366424986,24
111,May 15 2020,11808,5247,24924,0.4737602311025518,0.21051998074145403,0.08292792445502314,4537825,96349,0.9922146130477318,308882,5215,117.93519241494701,25
112,May 16 2020,10507,5358,23967,0.43839445904785745,0.22355739141319314,0.07186184364273832,4629638,91813,0.9529211512314606,313053,4171,114.98875627440046,25
113,May 17 2020,20490,10153,58282,0.35156652139597133,0.17420472873271337,0.05337043468807612,4708147,78509,0.8550967727881672,316382,3329,96.44832682654767,24
